id,soru,sinif,alt_sinif,split,source,original_sinif,karar,gerekce,family_id,recipe_id
ilk-yardim-001,"Eğitim sahasında yandım, yalnızım; ilk ne yapmalıyım?",medikal,ilk yardım,train,existing_package,ilk yardım,keep,good,ilk yardım:travma:001,travma
ilk-yardim-002,Arazide kolu kanayan yaralıya tahliyeden önce turnikeyi nasıl uygulayayım?,medikal,ilk yardım,train,existing_package,ilk yardım,keep,good,ilk yardım:kanama:002,kanama
ilk-yardim-005,"Araç yanında yalnızım, kırık şüphesi olan yaralıyı nasıl güvene alayım?",medikal,ilk yardım,train,existing_package,ilk yardım,keep,good,ilk yardım:travma:005,travma
ilk-yardim-007,Gece nöbetinde bacağından yaralanana tahliyeden önce turnikeyi nasıl uygulayalım?,medikal,ilk yardım,train,existing_package,ilk yardım,keep,good,ilk yardım:kanama:007,kanama
ilk-yardim-008,Eğitim sahasında yanan yaralıyı güvene almak için ilk yardım çantasından ne kullanayım?,medikal,ilk yardım,train,existing_package,ilk yardım,keep,good,ilk yardım:travma:008,travma
ilk-yardim-010,"Araç yanında yandım, yalnızım; ilk ne yapayım?",medikal,ilk yardım,train,existing_package,ilk yardım,keep,good,ilk yardım:travma:010,travma
ilk-yardim-013,Gece nöbetinde kolundan kanayan yaralıya tahliyeden önce turnikeyi nasıl uygulayalım?,medikal,ilk yardım,train,existing_package,ilk yardım,keep,good,ilk yardım:kanama:013,kanama
ilk-yardim-015,"Eğitim sahasında kırık şüphesi var, ilk yardım çantası yanımızdayken önce ne yapalım?",medikal,ilk yardım,train,existing_package,ilk yardım,keep,good,ilk yardım:travma:015,travma
ilk-yardim-017,"Araç yanında birinin kemiği kırılmış olabilir, ilk yardım çantasından önce ne yapayım?",medikal,ilk yardım,train,existing_package,ilk yardım,keep,good,ilk yardım:travma:017,travma
ilk-yardim-018,Gece nöbetinde bacağından yaralanan arkadaşım için turnikeyi takmadan önce ne yapmalıyım?,medikal,ilk yardım,train,existing_package,ilk yardım,keep,good,ilk yardım:kanama:018,kanama
ilk-yardim-019,"Eğitim sahasında yalnızım, kırık şüphesi olan yaralıyı nasıl güvene alayım?",medikal,ilk yardım,train,existing_package,ilk yardım,keep,good,ilk yardım:travma:019,travma
ilk-yardim-020,Arazide kolundan kanayan yaralıya turnikeyle ilk ne yapayım?,medikal,ilk yardım,train,existing_package,ilk yardım,keep,good,ilk yardım:kanama:020,kanama
ilk-yardim-022,Arazide bacağından yaralanana tahliyeden önce temiz bezle nasıl ilk yardım yapayım?,medikal,ilk yardım,train,existing_package,ilk yardım,keep,good,ilk yardım:kanama:022,kanama
ilk-yardim-024,Gece nöbetinde kolundan kanayan yaralıya tahliyeden önce turnikeyi nasıl uygulayayım?,medikal,ilk yardım,train,existing_package,ilk yardım,keep,good,ilk yardım:kanama:024,kanama
ilk-yardim-027,"Araç yanında biri yandı, ilk yardım çantasından önce ne yapayım?",medikal,ilk yardım,train,existing_package,ilk yardım,keep,good,ilk yardım:travma:027,travma
ilk-yardim-028,Eğitim sahasında kırık şüphesi olan yaralıyı yalnızken nasıl güvene alayım?,medikal,ilk yardım,train,existing_package,ilk yardım,keep,good,ilk yardım:travma:028,travma
ilk-yardim-031,"Araç yanında yalnızım, kırık şüphesinde ilk ne yapayım?",medikal,ilk yardım,train,existing_package,ilk yardım,keep,good,ilk yardım:travma:031,travma
ilk-yardim-033,"Komutanım, arazide kolu kanayan yaralıya temiz bezle ilk ne yapayım?",medikal,ilk yardım,train,existing_package,ilk yardım,keep,good,ilk yardım:kanama:033,kanama
ilk-yardim-035,Gece nöbetinde kolu kanayan yaralıya tahliyeden önce temiz bezle nasıl müdahale edeyim?,medikal,ilk yardım,train,existing_package,ilk yardım,keep,good,ilk yardım:kanama:035,kanama
ilk-yardim-043,Gece nöbetinde kolu kanayan yaralıya tahliyeden önce temiz bezle ne yapayım?,medikal,ilk yardım,train,existing_package,ilk yardım,keep,good,ilk yardım:kanama:043,kanama
