soru,sinif
"Eğitim sahasında yandım, yalnızım; ilk ne yapmalıyım?",medikal
Arazide kolu kanayan yaralıya tahliyeden önce turnikeyi nasıl uygulayayım?,medikal
"Araç yanında yalnızım, kırık şüphesi olan yaralıyı nasıl güvene alayım?",medikal
Gece nöbetinde bacağından yaralanana tahliyeden önce turnikeyi nasıl uygulayalım?,medikal
Eğitim sahasında yanan yaralıyı güvene almak için ilk yardım çantasından ne kullanayım?,medikal
"Araç yanında yandım, yalnızım; ilk ne yapayım?",medikal
Gece nöbetinde kolundan kanayan yaralıya tahliyeden önce turnikeyi nasıl uygulayalım?,medikal
"Eğitim sahasında kırık şüphesi var, ilk yardım çantası yanımızdayken önce ne yapalım?",medikal
"Araç yanında birinin kemiği kırılmış olabilir, ilk yardım çantasından önce ne yapayım?",medikal
Gece nöbetinde bacağından yaralanan arkadaşım için turnikeyi takmadan önce ne yapmalıyım?,medikal
"Eğitim sahasında yalnızım, kırık şüphesi olan yaralıyı nasıl güvene alayım?",medikal
Arazide kolundan kanayan yaralıya turnikeyle ilk ne yapayım?,medikal
Arazide bacağından yaralanana tahliyeden önce temiz bezle nasıl ilk yardım yapayım?,medikal
Gece nöbetinde kolundan kanayan yaralıya tahliyeden önce turnikeyi nasıl uygulayayım?,medikal
"Araç yanında biri yandı, ilk yardım çantasından önce ne yapayım?",medikal
Eğitim sahasında kırık şüphesi olan yaralıyı yalnızken nasıl güvene alayım?,medikal
"Araç yanında yalnızım, kırık şüphesinde ilk ne yapayım?",medikal
"Komutanım, arazide kolu kanayan yaralıya temiz bezle ilk ne yapayım?",medikal
Gece nöbetinde kolu kanayan yaralıya tahliyeden önce temiz bezle nasıl müdahale edeyim?,medikal
Gece nöbetinde kolu kanayan yaralıya tahliyeden önce temiz bezle ne yapayım?,medikal
Gece nöbetinde bacağından yaralanan askere temiz bezle ilk ne yapayım?,medikal
Gece nöbetinde kolu kanayan yaralıya tahliyeden önce turnikeyi nasıl takayım?,medikal
Gece nöbetinde kolu kanayan yaralıya turnikeyle önce ne yapayım?,medikal
"Arazide bacağından yaralanana ilk ne yapayım, turnike var?",medikal
